Day Index,Exportaciones,Importaciones,Comercio total,Balance comercial
2008,853.319,136.755,990.074,716.564
2009,516.954,122.454,639.408,394.5
2010,781.751,125.705,907.456,656.046
2011,982.394,144.593,1126.987,837.801
2012,874.704,138.432,1013.136,736.272
2013,1011.581,131.674,1143.255,879.907
2014,884.401,161.535,1045.936,722.866
2015,713.58,143.44,857.02,570.14
2016,907.817,148.849,1056.666,758.968
2017,713.922,144.469,858.391,569.453
2018,590.26,162.685,752.945,427.575
