Day Index,Exportaciones,Importaciones,Comercio total,Balance comercial
2008,919.721,775.885,1695.606,143.836
2009,651.194,923.322,1574.516,-272.128
2010,805.997,1901.953,2707.95,-1095.956
2011,997.824,2650.121,3647.945,-1652.297
2012,993.298,3259.364,4252.662,-2266.066
2013,977.357,3174.391,4151.748,-2197.034
2014,996.259,2541.797,3538.056,-1545.538
2015,964.204,550.03,1514.234,414.174
2016,915.47,391.08,1306.55,524.39
2017,959.031,374.58,1333.611,584.451
2018,966.684,434.087,1400.771,532.597
