Day Index,Exportaciones,Importaciones,Comercio total,Balanza comercial,IED
2008,1587,2592,4179,-1005,26.545054
2009,1049,1651,2700,-601,52.4021603
2010,1863,1952,3816,-89,86.868033
2011,2072,2101,4173,-29,63.64108
2012,2252,1503,3754,749,28.31512516
2013,2085,1438,3523,646,111.9129695
2014,2148,1398,3546,750,72.22086144
2015,1861,1480,3342,381,125.5764649
2016,1745,1335,3080,410,13.52017984
2017,1804,1537,3341,268,34.62123955
2018,2074,1668,3742,406,90.45654613
