Day Index,Exportaciones,Importaciones,Comercio total,Balanza comercial,IED
2008,864,116,980,748,17.582191
2009,770,95,865,676,17.92382559
2010,882,32,915,850,17.01677723
2011,1024,121,1144,903,102.6701195
2012,1136,83,1219,1053,18.70130204
2013,1047,17,1064,1029,18.71687059
2014,989,20,1009,969,4.81168667
2015,1042,121,1163,922,62.85944849
2016,899,51,949,848,-1.33176754
2017,915,110,1026,805,16.60927014
2018,1162,106,1267,1056,49.80336129
