Day Index,Exportaciones,Importaciones,Comercio total,Balanza comercial,IED
2008,3367,5183,8550,-1816,257.2125948
2009,2438,3495,5933,-1057,170.8151682
2010,3781,4327,8108,-546,282.3471079
2011,4891,4562,9453,329,403.5659781
2012,5658,4495,10152,1163,491.1328226
2013,5386,4421,9807,966,162.9209019
2014,4740,4473,9213,267,627.9506157
2015,3799,4622,8421,-823,1144.361148
2016,3056,4733,7789,-1677,911.8280211
2017,3681,5441,9122,-1760,-133.713594
2018,4408,6511,10919,-2103,95.86127244
