Day Index,Exportaciones,Importaciones,Comercio total,Balance comercial
2008,801,71,872,731
2009,462,71,534,391
2010,658,105,763,553
2011,666,110,776,556
2012,609,106,715,503
2013,639,126,765,513
2014,605,127,732,478
2015,637,136,773,501
2016,597,115,712,481
2017,688,150,838,538
2018,794,247,1040,547
