Day Index,Exports,Imports,Total trade,Trade balance
2008,1587,2592,4179,-1005
2009,1049,1651,2700,-601
2010,1863,1952,3816,-89
2011,2072,2101,4173,-29
2012,2252,1503,3754,749
2013,2085,1438,3523,646
2014,2148,1398,3546,750
2015,1861,1480,3342,381
2016,1745,1335,3080,410
2017,1804,1537,3341,268
2018,2074,1668,3742,406
