Day Index,Exports,Imports,Total trade,Trade balance,IED
2008,3032,1072,4104,1961,48.747999
2009,2491,619,3110,1871,47.93178134
2010,3757,795,4552,2962,63.61567943
2011,5633,825,6457,4808,307.0080562
2012,5592,877,6469,4715,61.01930401
2013,4735,912,5647,3823,106.4383481
2014,4734,934,5668,3799,100.2373969
2015,3668,923,4591,2746,113.8524135
2016,3067,1098,4164,1969,213.1224986
2017,3164,1674,4838,1490,71.19630042
2018,3544,1771,5316,1773,-3.98056206
