Day Index,Exports,Imports,Total trade,Trade balance
2008,373,119,492,253
2009,220,106,327,114
2010,307,124,431,183
2011,405,148,554,257
2012,722,154,876,568
2013,779,628,1408,151
2014,849,637,1486,212
2015,942,550,1492,392
2016,938,662,1600,276
2017,938,360,1298,579
2018,737,333,1070,403
