Day Index,Exports,Imports,Total trade,Trade balance,IED
2008,801,71,872,731,64.008442
2009,462,71,534,391,17.616446
2010,658,105,763,553,1.411843
2011,666,110,776,556,0.015559
2012,609,106,715,503,c
2013,639,126,765,513,0.01043113
2014,605,127,732,478,44.087587
2015,637,136,773,501,10.6035291
2016,597,115,712,481,35.01503829
2017,688,150,838,538,26.61291934
2018,794,247,1040,547,0.11422616
