Day Index,Exports,Imports,Total trade,Trade balance
2008,458,255,713,203
2009,376,177,553,200
2010,424,272,697,152
2011,500,344,844,156
2012,574,353,927,222
2013,550,418,968,132
2014,518,478,996,41
2015,556,415,971,141
2016,586,427,1012,159
2017,646,407,1053,240
2018,742,437,1179,305
